(PDH-CSV 4.0) (Hora estándar de Argentina)(180);\\LAPTOP-Q8902CT0\Procesador(_Total)\% de tiempo de procesador;\\LAPTOP-Q8902CT0\Disco físico(_Total)\Transferencias de disco/s;\\LAPTOP-Q8902CT0\Disco físico(_Total)\Promedio de segundos de disco/transferencia;
16:10.5; ; ; ;
16:13.5;4.598470552;43.24336158;0.00751058;0.324782727
16:16.5;38.21866401;86.99615477;0.000481768;0.041911963
16:19.5;25.68073883;33.65356646;0.002124208;0.071487175
16:22.5;41.04667463;177.4376548;0.003974059;0.705147709
16:25.5;39.80906397;36.68762141;0.002509736;0.092076244
16:28.5;31.12059166;29.38796752;0.001935168;0.056870654
16:31.5;23.50322577;17.30396562;0.000679998;0.011766662
16:34.5;25.10223296;33.62094666;0.004660552;0.15669217
16:37.5;39.09812736;53.74978892;0.069777631;3.750532938
16:40.5;25.85261384;10.99905445;0.004468285;0.04914691
16:43.5;27.09539857;24.35093663;0.003455729;0.084150238
16:46.5;30.7138344;16.68603303;0.00823105;0.137343572
16:49.5;30.78166647;41.63516411;0.00492369;0.204998641
16:52.5;35.32037035;41.97810982;0.003047674;0.127935594
16:55.5;23.3065572;12.64534156;0.001581216;0.019995016
16:58.5;18.1861932;13.361436;0.00253338;0.033849595
17:01.5;22.84245761;8.327258598;0.005906408;0.049184187
17:04.5;15.43319619;5.666518393;0.002173182;0.012314376
17:07.5;26.76962874;19.97886037;0.011604918;0.231853036
17:10.5;22.40168166;5.666283437;0.001710141;0.009690144
17:13.5;17.46192544;13.97558977;0.00199445;0.027873615
17:16.5;23.97619097;9.02881154;0.001599593;0.014442424
17:19.5;17.77670868;3.669426197;0.010718045;0.039329075
17:22.5;20.40965886;3.650245793;0.008851264;0.032309289
17:25.5;22.38022608;1.335849406;0.00182795;0.002441866
17:28.5;18.18694022;57.02922938;0.000715697;0.040815648
17:31.5;18.287474;5.995762195;0.001437983;0.008621804
17:34.5;14.63757203;4.347022978;0.006278154;0.02729128
17:37.5;21.11718794;7.319262296;0.003272582;0.023952886
17:40.5;17.52399767;3.669121309;0.010510709;0.038565066
17:43.5;13.21566602;8.666628245;0.000470277;0.004075716
17:46.5;16.10127815;20.29682949;0.001302734;0.02644137
17:49.5;13.06392441;4.993708593;0.00769778;0.03844047
17:52.5;18.89130297;4.999377078;0.005018673;0.025090239
17:55.5;16.57297466;4.679250888;0.000884514;0.004138863
17:58.5;11.85083534;7.327751297;0.002922205;0.021413191
18:01.5;15.68518497;18.33438389;0.004782313;0.087680762
18:04.5;12.39256926;5.343925707;0.000636256;0.003400105
18:07.5;21.12678335;9.654547313;0.0021247;0.020513017
18:10.5;19.642437;1.334719618;0.0004085;0.000545233
18:13.5;16.48827392;8.312228032;0.001384076;0.011504755
18:16.5;28.71224501;58.27672526;0.001743729;0.101618816
18:19.5;30.22268741;68.45067605;0.002066275;0.141437921
