(PDH-CSV 4.0) (Hora estándar de Argentina)(180);\\LAPTOP-Q8902CT0\Procesador(_Total)\% de tiempo de procesador;\\LAPTOP-Q8902CT0\Disco físico(_Total)\Transferencias de disco/s;\\LAPTOP-Q8902CT0\Disco físico(_Total)\Promedio de segundos de disco/transferencia;
40:15.2; ; ; ;
40:18.1;3.762717457;7.406495685;0.006162823;0.04564492
40:21.1;11.20646452;60.99448203;0.001262048;0.076977936
40:24.1;14.3785611;64.82109428;0.000177505;0.011506078
40:27.1;32.8833426;40.91609609;0.001752003;0.071685133
40:30.1;26.96372639;60.48693992;0.00210384;0.12725483
40:33.1;22.39362859;15.6144924;0.001207023;0.018847058
40:36.1;28.09672466;79.50892349;0.001839043;0.146220318
40:39.1;21.94585072;67.32848119;0.000995565;0.067029903
40:42.1;17.89464992;13.34548217;0.008614792;0.11496856
40:45.1;26.20137644;75.30332496;0.000477179;0.035933181
40:48.1;29.06914098;14.97936742;0.002472022;0.037029329
40:51.1;26.50910357;17.98099229;0.005945294;0.106902294
40:54.1;24.89219755;9.363069819;0.00314675;0.02946324
40:57.1;24.78543891;9.97663439;0.001658543;0.01654668
41:00.1;25.42157078;15.70144747;0.000341902;0.005368358
41:03.1;19.25055176;9.335562666;0.000475593;0.004439927
41:06.1;29.07977284;15.68594103;0.007650772;0.120009564
41:09.1;23.50742163;12.6123319;0.001634553;0.02061552
41:12.1;22.85587055;10.99931254;0.007699836;0.084692907
41:15.1;27.7109708;25.69820264;0.002418383;0.062148099
41:18.1;18.72209223;15.01721123;0.00241756;0.036305009
41:21.1;26.58100751;6.985739544;0.002275743;0.015897747
41:24.1;22.01435695;9.013930429;0.002343493;0.021124079
41:27.1;23.43745731;12.64537733;0.000287089;0.003630355
41:30.1;25.21797967;8.694362849;0.006715485;0.05838686
41:33.1;20.05848214;29.23551617;0.000491711;0.014375436
41:36.1;29.22429206;56.82872894;0.001086869;0.061765407
41:39.1;21.91794141;64.24588398;0.000225431;0.014482986
41:42.1;35.40190307;65.07982474;0.014915157;0.970675832
41:45.1;43.55718646;177.5849957;0.003878183;0.688707171
41:48.1;22.2613275;20.68494043;0.001373268;0.028405961
41:51.1;26.99917679;65.68357581;0.000398037;0.026144464
41:54.1;22.14114448;65.32784797;0.000553195;0.036139066
41:57.1;24.78569255;9.669065239;0.001168324;0.011296602
42:00.1;26.17737312;67.32993093;0.001253684;0.084410434
42:03.1;18.93885234;14.32271829;0.001030426;0.014758495
42:06.1;28.24571413;77.21916343;0.000812135;0.06271239
42:09.1;23.36617876;74.9436973;0.004041566;0.302889882
42:12.1;22.88772819;32.90127206;0.001674965;0.055108468
42:15.1;26.0833294;53.53931872;0.000484866;0.025959409
42:18.1;19.4078266;12.97808521;0.000714136;0.009268117
42:21.1;26.99028285;4.331093725;0.002267515;0.009820822
42:24.1;22.72785783;2.333152047;0.002944943;0.006870999
42:27.1;23.56892583;6.014965033;0.000324389;0.001951188
42:30.1;24.92419714;3.32245462;0.00380894;0.01265503
42:33.1;18.01099746;5.677237873;0.001284424;0.007291978
42:36.1;29.04739853;20.32964825;0.002003559;0.04073165
42:39.1;22.10254884;10.30357455;0.002503661;0.025796661
42:42.1;21.80595102;7.345706196;0.000398986;0.002930837
42:45.1;25.56784965;7.002002806;0.00675231;0.04727969
42:48.1;24.04406607;15.00849681;0.002489233;0.037359651
42:51.1;26.67426035;8.668826649;0.002197031;0.019045679
42:54.1;23.9300413;8.009848108;0.004358433;0.034910389
42:57.1;24.14431921;15.32200016;0.000960272;0.014713284
43:00.1;27.005189;2.664807874;0.00286655;0.007638805
43:03.1;19.21287696;22.62767842;0.000360929;0.008166995
43:06.1;28.07029701;71.25995458;0.001708729;0.121763982
43:09.1;23.99270566;64.91579184;0.000564342;0.036634692
43:12.1;33.51131468;8.311026262;0.005703204;0.047399478
43:15.1;55.75432353;67.7162214;0.000337243;0.022836845
43:18.1;55.01527244;15.71420633;0.001500326;0.023576425
43:21.1;27.34219566;63.82874959;0.000725712;0.046321288
43:24.1;20.86789907;60.84028252;0.000300575;0.018287085
43:27.1;21.10767737;10.62116559;0.000685237;0.007278021
43:30.1;23.03959602;60.25998568;0.000212571;0.012809532
43:33.1;17.98118532;9.302356486;0.004981589;0.046340519
43:36.1;24.72978354;82.27296143;0.001162915;0.095676459
43:39.1;20.1493747;55.40054897;0.000458089;0.025378391
43:42.1;20.64417039;17.02684395;0.000493508;0.008402881
43:45.1;23.5733011;26.33163055;0.000546784;0.014397702
43:48.1;17.06343893;18.33154295;0.000568975;0.010430181
43:51.1;25.43773231;6.334935227;0.0002953;0.001870706
