(PDH-CSV 4.0) (Hora estándar de Argentina)(180);\\LAPTOP-Q8902CT0\Procesador(_Total)\% de tiempo de procesador;\\LAPTOP-Q8902CT0\Disco físico(_Total)\Transferencias de disco/s;\\LAPTOP-Q8902CT0\Disco físico(_Total)\Promedio de segundos de disco/transferencia;
50:34.2; ; ; ;
50:37.2;15.48296599;34.34370333;0.002066933;0.070986134
50:40.2;27.67041679;15.95660124;0.001384025;0.022084335
50:43.2;20.5798023;12.68634615;0.005146063;0.065284739
50:46.2;27.7748296;27.39191826;0.002186768;0.059899778
50:49.2;14.30539212;21.00439342;0.000275208;0.005780576
50:52.2;19.39944948;6.666727556;0.000472505;0.003150062
50:55.2;18.11005882;13.9983314;0.000269636;0.00377445
50:58.2;15.74876226;8.653914547;0.001683846;0.014571861
51:01.2;20.27783215;8.981895194;0.004120215;0.037007338
51:04.2;16.50529644;11.00408839;0.000315191;0.003468389
51:07.2;19.87347437;24.3285025;0.000310381;0.007551101
51:10.2;23.65514087;7.997701194;0.001663467;0.013303909
51:13.2;17.86208214;14.6739469;0.001116191;0.016378926
51:16.2;26.84503141;13.66251235;0.002020573;0.027606106
51:19.2;17.13510616;19.04181265;0.00119163;0.022690792
51:22.2;19.85706742;26.62329909;0.001023449;0.027247582
51:25.2;17.81462583;17.32479279;0.001008348;0.017469421
51:28.2;18.80331611;13.34583972;0.001554432;0.020745207
51:31.2;20.94282508;21.67246622;0.002677091;0.058019159
51:34.1;15.18754428;14.04003563;0.00066445;0.009328902
51:37.2;22.20441642;18.2712968;0.001679955;0.030694948
51:40.2;20.43743754;15.02571501;0.010224347;0.153628119
51:43.1;15.61698218;9.682480093;0.000598703;0.005796934
51:46.2;22.82396638;54.21556989;0.001962494;0.106397757
51:49.2;21.88309101;15.34449543;0.003003837;0.046092362
51:52.1;28.98448716;27.04429224;0.005811837;0.157177019
51:55.2;20.67495064;14.9440063;0.003440838;0.051419901
51:58.2;28.23365956;34.40683091;0.001286406;0.044261148
52:01.2;47.35513014;317.1204056;0.001767022;0.560358678
52:04.2;48.02930292;92.9305243;0.001892925;0.175910529
52:07.2;25.14794793;227.7472689;0.006131705;1.396479094
52:10.2;30.0784776;324.0059941;0.005508173;1.784681117
52:13.2;26.03764543;275.7044673;0.006868235;1.893603088
52:16.2;34.01145617;443.4842616;0.002769683;1.228310662
52:19.2;18.77447547;284.4919494;0.006470795;1.840889135
52:22.2;23.42979388;157.6158639;0.012632263;1.991045058
52:25.2;20.9355199;222.9105602;0.009736141;2.170288729
52:28.2;20.3640625;245.828711;0.007577332;1.862725707
52:31.2;25.39936144;302.6547802;0.00444622;1.345669657
52:34.2;18.68975817;451.3633761;0.003142011;1.418188569
52:37.2;21.57696981;270.4661556;0.005123379;1.385700685
52:40.2;24.87459837;177.1727381;0.009495717;1.682382166
52:43.2;21.00646528;165.3780681;0.007205664;1.191658777
52:46.2;21.90965032;158.7334479;0.007426468;1.178828837
52:49.2;17.72232337;263.3726284;0.005325531;1.402599011
52:52.2;21.20201668;291.0779021;0.005616486;1.63483487
52:55.2;19.57721054;318.5672158;0.00340969;1.086215507
52:58.2;16.81254862;243.2819279;0.008221866;2.000231518
53:01.2;24.13174272;130.2583176;0.005320876;0.693088384
53:04.2;17.65188919;7.67196467;0.000454787;0.003489109
53:07.2;27.06976979;14.65552456;0.008005168;0.117319939
53:10.2;29.05896073;6.689602862;0.004095735;0.027398841
53:13.2;19.12609902;5.33423144;0.003117506;0.0166295
53:16.2;20.06671912;11.99763687;0.000676864;0.008120767
53:19.2;18.93393354;20.01914364;0.002352587;0.04709677
53:22.2;20.854663;6.998116807;0.006487738;0.045401949
53:25.2;21.07346099;4.993051337;0.002180327;0.010886483
53:28.2;16.54922403;9.990736589;0.000456527;0.004561038
53:31.2;23.46262994;6.681453391;0.00219163;0.014643274
53:34.2;17.78637605;4.336019497;0.000450177;0.001951976
53:37.2;22.40868504;9.998556875;0.002548637;0.025482689
53:40.2;20.61867384;3.655528029;0.003307155;0.012089396
53:43.2;18.76716766;5.683721621;0.000381035;0.002165699
53:46.2;25.79589645;16.92245679;0.000255175;0.00431818
53:49.2;18.0688079;8.704386545;0.000898369;0.007819753
53:52.2;25.21199567;5.993441377;0.000404761;0.002425912
53:55.2;19.56490506;4.338612991;0.001134523;0.004922257
53:58.2;16.12289719;5.978308108;0.00062755;0.003751687
54:01.2;24.60626878;16.68170077;0.001144616;0.019094142
54:04.2;16.1096204;7.353765526;0.000696445;0.005121497
54:07.2;22.62282186;9.306014906;0.002722954;0.025339847
54:10.2;19.04023564;3.677142724;0.0008911;0.003276702
54:13.2;18.80091994;5.996227174;0.002235678;0.013405632
54:16.2;19.57968983;5.330059256;0.000346644;0.001847632
54:19.2;18.8160706;3.338647681;0.00274933;0.009179044
54:22.2;21.86832353;5.662510195;0.000299859;0.001697954
54:25.2;17.94854249;20.65077039;0.000383348;0.00791644
54:28.2;19.27613958;4.667433526;0.001969436;0.00919221
54:31.2;21.68190924;4.674259066;0.002373007;0.01109205
54:34.2;16.10047921;4.991059847;0.0008547;0.004265859
54:37.2;18.84497895;6.315824814;0.000283811;0.001792498
54:40.2;27.20067752;11.72127138;0.001086191;0.012731545
54:43.2;18.02460682;9.652259704;0.000531141;0.005126715
54:46.2;21.08735018;5.667177657;0.000361094;0.002046385
54:49.2;18.16834208;22.26098957;0.00295694;0.065824417
54:52.2;24.6667691;8.348723649;0.000956044;0.007981747
54:55.2;22.08091812;3.666175766;0.006008955;0.022029884
54:58.2;20.66968255;25.36446483;0.00145275;0.036848226
55:01.2;23.72875466;3.668304809;0.010213064;0.03746463
55:04.2;25.99100504;24.01694155;0.001394246;0.033485521
55:07.2;22.40485288;12.62263094;0.001608339;0.020301476
55:10.2;25.69708196;7.026503973;0.003218471;0.022614602
55:13.2;21.67578848;22.98216048;0.000487497;0.011203737
55:16.2;26.27659961;5.668577733;0.000297976;0.001689103
55:19.2;22.21491562;3.995943185;0.000543092;0.002170163
55:22.2;22.01797351;5.983987647;0.001696394;0.010151203
55:25.2;17.80208261;2.674216783;0.001792362;0.004793166
55:28.2;26.42019616;8.312604745;0.008677784;0.072134988
55:31.2;36.79813004;62.44827771;0.011843703;0.739618834
55:34.2;25.4586073;34.33195204;0.001001824;0.034394583
55:37.2;26.71638917;72.43841249;0.014662681;1.062141342
55:40.2;12.70597151;166.315909;0.012486381;2.076683766
55:43.2;4.148762505;98.2166029;0.034356186;3.374347921
55:46.2;10.68465132;112.3242351;0.037714064;4.236203334
55:49.2;6.110348532;50.74239631;0.020579422;1.044249172
55:52.2;7.621703527;169.3934304;0.005912735;1.001578381
55:55.2;8.004978097;134.9098892;0.012683507;1.711130512
55:58.2;4.800093923;194.1650458;0.013476857;2.616734503
;21.15205977;;;46.07859566
