(PDH-CSV 4.0) (Hora estándar de Argentina)(180);\\LAPTOP-Q8902CT0\Procesador(_Total)\% de tiempo de procesador;\\LAPTOP-Q8902CT0\Disco físico(_Total)\Transferencias de disco/s;\\LAPTOP-Q8902CT0\Disco físico(_Total)\Promedio de segundos de disco/transferencia;
30:41.9; ; ; ;
30:44.9;12.63836856;13.1972255;0.006232269;0.082248662
30:47.9;18.22890772;5.666661;0.006843594;0.038780328
30:50.9;8.904429254;5.349525813;0.000619369;0.003313329
30:53.9;6.712263342;14.30207139;0.00319017;0.045626036
30:56.9;14.70038088;53.5062119;0.001283558;0.0686783
30:59.9;9.452972666;14.27994016;0.002507053;0.035800574
31:02.9;8.401228026;131.2239529;0.001606325;0.21078835
31:05.9;18.30349748;22.9606126;0.005513587;0.126595334
31:08.9;8.337499436;20.68017013;0.000484895;0.010027714
31:11.9;6.747824032;21.65698888;0.000759326;0.016444718
31:14.9;14.61530171;11.67139397;0.007172;0.083707238
31:17.9;20.61022068;40.21489511;0.009624735;0.387057697
31:20.9;15.68414425;5.684636181;0.005282982;0.030031833
31:23.9;26.90177209;51.56515379;0.010728919;0.553238343
31:26.9;17.87462627;75.51364079;0.002524077;0.190602251
31:29.9;13.79987195;8.352605579;0.007283176;0.060833496
31:32.9;19.26665142;92.85325472;0.003399827;0.315684991
31:35.9;19.8086124;5.67010256;0.001730276;0.009810845
31:38.9;15.36081684;12.36242831;0.002914162;0.036026121
31:41.9;21.62801406;23.25193915;0.007543093;0.175391536
31:44.9;6.927106347;24.42918368;0.000984405;0.024048222
31:47.9;8.289211349;45.92414097;0.00786543;0.361213103
;14.23607822;;;13.027041
